label	text_a
1	据南非独立传媒网站9月16日报道，非洲财富报告称，南非是非洲大陆上最富有的国家，百万富翁人数是其他非洲国家的两倍多。排名前五位的其他非洲国家分别是埃及、尼日利亚、摩洛哥和肯尼亚。报告指出，过去10年(2008-2018)，非洲的总财富增加了14%。非洲的表现受到南非、埃及和尼日利亚这三个最大的非洲市场表现不佳的限制。生活方式、完善的豪华区域、顶级购物中心和奢侈品商店等因素是保持高资产人士留在南非的主要因素
1	据南非每日商报网站10月10日报道，南非8月份制造业生产连续第三次出现萎缩，下降1.8%。其中，基础钢铁、有色金属产品、金属产品和机械类下跌7%，石油、化工、橡胶和塑料制品下跌4.1%，木材及木制品、造纸、出版、印刷等行业萎缩7.3%，汽车、零部件和其他运输设备的销售增幅最大，为8.3%。衡量制造业活动的采购经理人指数（PMI）指出，9月份该行业进一步承压，从上月的45.7降至41.6。报道称，由于中美贸易战导致消费需求疲软和出口增长前景不确定是影响制造业生产的主要因素。
1	路透约翰内斯堡8月16日
1	据南非独立传媒网站8月1日报道，非洲石油周刊报告称，全球石油市场从2015-16年的低点复苏，非洲经济表现前景看好。报告预测，随着跨大陆管道的开发、天然气发电计划和炼油潜力的发挥，2019年及以后将出现深海勘探和大型天然气发现。此外，随着全球天然气消费量的增长，2017年至2018年间，非洲天然气产量增长了8%，天然气的前景一片光明。
1	据南非独立传媒网站6月11日报道，南非航空公司员工呼吁前首席执行官贾拉纳立即复职，并撤换公司整个董事会。南非国家金属工人工会（NUMSA）和南非机组人员协会（SACCA）周二在南非所有主要机场举行抗议活动，要求南非航空公司在48小时内恢复前首席执行官贾拉纳的职务，并给予他必要的支持，以实施公司的长期转型战略，否则，工会将动员南非航空及其他航空公司的员工和供应商发动罢工，使南非整个航空业关闭。
1	路透约翰内斯堡5月14日
1	路透约翰内斯堡7月17日
0	据南非每日商报网站6月27日报道，储备银行季度报告显示，南非2019年第一季度固定资本形成总额同比下降4.5%，连续第五个季度出现下滑。其中，私营企业的实际固定资本支出总额下降9.8%，公共部门同期的固定资本支出增加16%。储备银行表示，尽管面临财务和治理方面的挑战，国有企业仍大力推动投资，但公共部门支出的改善基数较低。同时，私人部门支出的下降与南非经济活动疲软和商业信心低迷相符。
1	据南非金融24小时网站9月16日报道，拉马福萨总统在南非服装和纺织工人工会全国代表大会上承诺，政府将采取更多措施打击非法进口中国服装和纺织品，这些产品的价格低于当地制造的产品。南非税务局一直在加强调查和执法能力，以便更好地打击非法进口服装。7月至9月期间，国税局进行了2500次突击检查，寻找假冒和非法进口商品，查获的货物价值超过10亿兰特。此外，政府将更加警惕地执行“购买当地产品”的采购规定，以支持当地的服装和纺织业。
1	据南非金融24小时网站5月28日报道，据南非统计局最新报告显示，2018年南非共有44.3%的家庭接受至少一项社会补助。报道称，社会补助的分配存在城乡以及种族差异，其中比例最高的是东开普省59%，其次为北开普省57.4%和自由州省50.7%；超过三分之一黑人接受补助，有色人种和亚裔分别占29.9%和12.5%。
0	据南非金融24小时网站8月29日报道，受到美中贸易战的影响，南非股市迎来21年来最糟糕的8月。截至周三收盘，约翰内斯堡基准指数自本月初以来已下跌4.5%，创下1998年以来8月份的最大跌幅，以及自去年10月以来的最大跌幅。报道称，全球最大的两个经济体在关税问题上的冲突，已促使投资者逃离风险较高的资产，包括自8月1日以来净卖出234亿兰特的南非股票。由于对南非的经济状况和消费者的疲软表示不满，本月普通零售商的股价下跌了8%以上；受货币贬值的冲击，银行股下跌6%。
1	据南非每日商报网站8月1日报道，南非2019年7月采购经理人指数PMI从6月的46.2升至52.1，为自2016年6月以来的最高水平，也是今年首次突破50点的中性大关。该指数衡量制造业活动，高于50表示扩张，预示着南非第三季度初制造业的良好增长势头。制造业是南非经济的第四大行业，约占GDP的13%，该行业的反弹表明，GDP将可能回升。经济学家表示，鉴于对全球制造业健康状况的担忧日益加剧，这种改善能否持续下去仍有待观察。
0	路透约翰内斯堡6月12日
1	据南非公民报网站7月16日报道，南非农业部长迪迪扎周二在议会表示，农业部将招募兽医和动物卫生专家，以维持该国在畜牧业等领域的生物安全，并为黑人农民的商业化开发政策工具。对此，南非农业协会表示，对合作伙伴关系、农业融资、黑人农民商业化和土地生产利用表示欢迎，并承诺将致力于建设一个包容、蓬勃、具有全球竞争力的农业部门。
1	据南非金融24小时网站5月13日报道，南非总统府发言人迪科日前表示，总统拉马福萨将恢复前总统姆贝基时期设立的总统府政策咨询办公室，旨在向总统提供全面的政策咨询和实施意见，同时协调其他内阁部门推动政策落地。据悉，现任总统府政策研究室主任布萨尼·恩格卡维尼将担任该部门负责人。
1	据南非每日独行者网站6月27日报道，南非能源部长曼塔谢周二表示，南非能源部正在制定一项法案，以管理石油和天然气资源的开发。南非目前大约60%的石油产品需要进口原油，今年2月，道达尔公司宣布在南非海岸发现首个重大深水油田，该油田拥有10亿桶原油储量。对此，曼塔谢表示，需要迅速采取行动，确保政策的确定性，法案将进一步为上游石油行业提供监管方面的支持，并刺激该行业的增长和发展。
1	据南非每日商报网站10月10日报道，南非采矿业8月份意外收缩3.2%，表明该国经济在2019年第三季度难以获得增长动力。据统计局数据显示，铂族金属领跌，同比下跌12.5%，钻石产量下降29.8%，下降幅度扩大1.4个百分点。锰产量同比增长34.3%。经济学家表示，该行业约占南非GDP的8%，是第二季度经济增长的关键贡献者。采矿业产出活动受到持续不确定的政策环境、运营成本上升和劳工动荡的制约。随着经济增长放缓，特别是中国和美国的经济增长放缓，将抑制全球对大宗商品的需求，该行业还面临着日益严峻的国际环境。
1	新闻配图
1	据南非独立传媒网站8月1日报道，南非财政部数据显示，2019/20财年的前三个月，南非的预算赤字激增至575亿兰特，而上一财年同期为275.9亿兰特。报道称，在政府上周宣布向陷入困境的南非国家电力公司Eskom提供数十亿兰特的额外财政支持后，预计这一缺口将进一步扩大。财政部表示，对Eskom的额外财政支持以及相对于2019年预算的税收收入短缺的迹象，导致了修订后的融资策略和2019/20年度政府借贷需求的增加。对此，财政部在声明中表示，将提高每周债券拍卖水平，以试图弥补亏空。
1	本报记者龙辉报导
1	路透约翰内斯堡6月11日
1	路透约翰内斯堡8月29日
